R2_test,retorno_strat_gross,retorno_strat_net,total_cost,n_trades,sharpe_gross,sharpe_net,max_drawdown_gross,max_drawdown_net,ticker,modelo
0.03271524911965262,1.1977348267153638,0.9706120726783851,0.21000000000000002,420,0.3864643893489445,0.05303669454974448,0.3013671092433807,0.3434408328486427,ANA.MC,LinearRegression
0.03312103251254217,1.1891305330873465,0.9626725015870352,0.21100000000000002,422,0.3749786138883145,0.04006538693272467,0.30638595180868,0.34881146271201524,ANA.MC,Ridge
0.0944322634103304,1.3405581196428753,1.1094591075115188,0.1885,377,0.5524174111940862,0.2621534453186928,0.2725154250528309,0.33640930015350035,ANA.MC,RandomForest
0.13453477425623495,1.2571447055970524,1.0311531504459037,0.1975,395,0.4707861444279782,0.14739317892423223,0.28197636244315705,0.34030410864586746,ANA.MC,DecisionTree
0.03556200531054754,1.0916506912216835,0.876735886071626,0.21900000000000003,438,0.23868268375760163,-0.1017424924424226,0.3594309126075116,0.4022355215177229,ANA.MC,SVR
0.2053997930798791,1.3380064556581672,1.1109390846012008,0.1855,371,0.6016784419430599,0.2741682250521407,0.19649504135116314,0.2483986750184458,ACX.MC,LinearRegression
0.2059280449926172,1.3380064556581672,1.1109390846012008,0.1855,371,0.6016784419430599,0.2741682250521407,0.19649504135116314,0.2483986750184458,ACX.MC,Ridge
0.229330944232219,1.374057139698098,1.1466455818074262,0.1805,361,0.650397099026595,0.3303038017880128,0.20876181547950035,0.2493644931618224,ACX.MC,RandomForest
0.2384203672758871,1.9049217301362,1.614851800944896,0.16450000000000004,329,1.0731709485959102,0.8214241741525695,0.1908989930530962,0.21061473018392396,ACX.MC,DecisionTree
0.23149925906737345,1.5838395062532815,1.328329934056715,0.1755,351,0.92229002244913,0.6003664916990952,0.2210440172657363,0.2657597350603429,ACX.MC,SVR
0.09723879236209787,1.4389425307881292,1.189250968639942,0.1905,381,0.993838045168355,0.5045114927464059,0.11665535868764176,0.1280915471885088,ACS.MC,LinearRegression
0.0985711030366645,1.4603921827831259,1.206985814984693,0.1905,381,1.029070597611499,0.5411092558442532,0.11665535868764187,0.12809154718850835,ACS.MC,Ridge
0.17183022615519172,1.8191098960587269,1.5259182309590646,0.1755,351,1.5149586831682527,1.0826856830368048,0.09914787611638487,0.11623319369470242,ACS.MC,RandomForest
0.14268724229538254,1.7968776680986842,1.4950948880469381,0.1835,367,1.3996082724220051,0.9758855459927119,0.10659165845051166,0.11909672307210561,ACS.MC,DecisionTree
0.05407725247292783,1.6585667865562679,1.3476540892788118,0.20750000000000002,415,1.2995050201619314,0.7905976854885225,0.13102485020585997,0.1401539581214618,ACS.MC,SVR
0.1942044040767592,0.7907474607855909,0.6282701759575383,0.2295,459,-0.3993192501782812,-0.8616414919742046,0.28398506751371655,0.4285522623253669,AMS.MC,LinearRegression
0.19481982170225676,0.8687564893190057,0.6881852202783927,0.2325,465,-0.20009030185611218,-0.6591520797332531,0.21334857221193948,0.3740560951666355,AMS.MC,Ridge
0.1828330638571457,1.2905955606203008,1.0726918333370745,0.1845,369,0.6135926736801683,0.22265225745747844,0.18247169630153104,0.20476820669192097,AMS.MC,RandomForest
0.20769123108020315,1.0580912573401022,0.8982378836632132,0.1635,327,0.20202525429685678,-0.19145258598578702,0.20523549254124107,0.23122347531574994,AMS.MC,DecisionTree
0.1558220379659141,1.0856160867267168,0.8950933285102691,0.1925,385,0.24494558063311003,-0.14571139363227856,0.20233085529392547,0.23350982288932032,AMS.MC,SVR
0.13982410636919473,0.9000752231177113,0.7428072146920324,0.1915,383,-0.046116871893363234,-0.3255560597069472,0.2935565471598456,0.3990186633383602,MTS.MC,LinearRegression
0.14228414937844813,0.8553263203622234,0.7072600044867612,0.1895,379,-0.11466790966644588,-0.3859668387545023,0.344907362234955,0.4277787635113418,MTS.MC,Ridge
0.25772814488173257,1.0107124803713605,0.8223275272709647,0.20550000000000002,411,0.13026729604463394,-0.14888755173880164,0.3248224416064486,0.43333398865632067,MTS.MC,RandomForest
0.2561929187560066,0.9006720516066197,0.7379579210940121,0.1985,397,-0.04908029459941357,-0.34321537612569586,0.27469514735750533,0.37344711106882655,MTS.MC,DecisionTree
0.22611514734937654,0.9544515096029746,0.7915185429451362,0.1865,373,0.05140449474059654,-0.20421823587779928,0.32357552963464986,0.4056958698052229,MTS.MC,SVR
0.0074220468261809724,1.1954775646929545,0.9853132057792244,0.193,386,0.36075930402698464,0.09395638270281144,0.28422950596066565,0.3216545851388791,SAB.MC,LinearRegression
0.0022391884703613085,1.226859915912032,1.011274293064476,0.193,386,0.4084795955816409,0.12429794753942075,0.2558909920751481,0.27036111261719464,SAB.MC,Ridge
0.12717020290543124,1.835729575253982,1.5243926478166037,0.1855,371,1.017130347026702,0.7363404724280771,0.1762832359898293,0.2008826228784637,SAB.MC,RandomForest
0.05288561697166061,4.411667362862085,4.117619816094771,0.0685,137,1.6921769073294417,1.6178854273583962,0.2820385868550188,0.2920963096340894,SAB.MC,DecisionTree
0.04207728937036992,1.0922338351791698,0.906526979812015,0.186,372,0.237460889248784,-0.03310785252074464,0.30733444295198054,0.33086699958371935,SAB.MC,SVR
0.0513634853530921,1.3117693903849885,1.1276715295109487,0.151,302,0.624468218678992,0.32010786301436334,0.12944767997184214,0.16566865091441862,BKT.MC,LinearRegression
0.05746809732814795,1.346373602559317,1.1539494249977404,0.154,308,0.6742394192132591,0.3652040687809263,0.12944767997184214,0.1661415964063362,BKT.MC,Ridge
